"subtitle.id","token","n.excl","n.interr","n.neg","n.afirm"
1,"oigan",0,0,0,0
2,"lanzar",0,0,0,0
2,"casa",0,0,0,0
4,"casa",1,0,0,0
4,"eren",1,0,0,0
5,"sasha",0,0,0,0
5,"dalir",0,0,0,0
5,"golpe",0,0,0,0
5,"connie",0,0,0,0
6,"parecer",0,0,1,0
6,"no",0,0,1,0
6,"saber",0,0,1,0
8,"pretender",0,0,0,0
8,"convertir",0,0,0,0
8,"shiganshina",0,0,0,0
8,"mar",0,0,0,0
8,"llama",0,0,0,0
8,"usar",0,0,0,0
8,"escombro",0,0,0,0
9,"desgraciado",0,0,0,0
10,"vez",0,0,0,0
10,"incender",0,0,0,0
10,"ciudad",0,0,0,0
11,"armin",2,0,0,0
11,"fuego",2,0,0,0
11,"acercar",2,0,0,0
11,"dano",2,0,0,0
11,"orden",2,0,0,0
12,"da",1,0,0,0
12,"prisa",1,0,0,0
13,"saber",0,0,1,0
13,"mientras",0,0,1,0
13,"tiembla",0,0,1,0
13,"no",0,0,1,0
13,"poder",0,0,1,0
13,"hacer",0,0,1,0
14,"jean",0,0,0,0
14,"hazlo",0,0,0,0
15,"no",0,0,1,0
15,"saber",0,0,1,0
15,"deber",0,0,1,0
15,"hacer",0,0,1,0
16,"fallar",0,0,0,0
16,"prever",0,0,0,0
16,"hacer",0,0,0,0
16,"bertholdt",0,0,0,0
17,"jean",0,0,0,0
17,"mas",0,0,0,0
17,"capacitado",0,0,0,0
18,"ir",1,0,0,0
18,"hacia",1,0,0,0
18,"rio",1,0,0,0
19,"subanse",2,0,0,0
19,"eren",2,0,0,0
19,"reservir",2,0,0,0
19,"gas",2,0,0,0
20,"eren",0,0,0,0
20,"tener",0,0,0,0
20,"distraer",0,0,0,0
20,"bertholdt",0,0,0,0
20,"alguno",0,0,0,0
20,"momento",0,0,0,0
21,"ahora",0,0,1,0
21,"intentar",0,0,1,0
21,"no",0,0,1,0
21,"ver",0,0,1,0
22,"armin",0,0,0,0
23,"poder",0,0,1,0
23,"ver",0,0,1,0
23,"situacion",0,0,1,0
23,"claridad",0,0,1,0
23,"no",0,0,1,0
23,"urdir",0,0,1,0
23,"ninguno",0,0,1,0
23,"plan",0,0,1,0
23,"salve",0,0,1,0
24,"final",0,0,0,0
24,"depender",0,0,0,0
25,"partido",0,0,0,0
25,"perfecto",0,0,0,0
26,"acabe",0,0,0,0
26,"lado",0,0,0,0
27,"unico",0,0,0,0
27,"inteligente",0,0,0,0
27,"ser",0,0,0,0
27,"aqui",0,0,0,0
28,"ir",0,1,0,0
28,"acabar",0,1,0,0
28,"titan",0,1,0,0
28,"bestia",0,1,0,0
29,"ahi",0,0,1,0
29,"quieto",0,0,1,0
29,"sin",0,0,1,0
29,"mover",0,0,1,0
29,"musculo",0,0,1,0
30,"parecer",0,0,0,0
30,"ser",0,0,0,0
30,"cobarde",0,0,0,0
31,"no",0,0,0,0
31,"tener",0,0,0,0
31,"pelota",0,0,0,0
31,"fin",0,0,0,0
31,"cabo",0,0,0,0
32,"descansa",0,0,0,0
33,"acabarer",0,0,0,0
33,"inteligente",0,0,0,0
34,"ir",1,0,0,0
35,"recibido",1,0,0,0
36,"rayo",0,0,0,0
37,"despues",0,1,0,0
37,"explosion",0,1,0,0
38,"hange",0,1,0,0
38,"demas",0,1,0,0
38,"evitar",0,1,0,0
39,"deber",0,0,0,0
39,"ir",0,0,0,0
39,"cuanto",0,0,0,0
40,"lanc",0,0,0,0
40,"demasiado",0,0,0,0
40,"alto",0,0,0,0
41,"dejala",0,0,0,0
41,"ahi",0,0,0,0
42,"primero",0,0,0,0
42,"bola",0,0,0,0
42,"ser",0,0,0,0
42,"practica",0,0,0,0
43,"aspiro",0,0,0,0
43,"partido",0,0,0,0
43,"perfecto",0,0,0,0
44,"atacar",2,0,0,0
44,"frente",2,0,0,0
