"token","n","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive"
"!zas!",1,0,0,0,0,0,0,0,0,0,0
"a bordo",1,0,0,0,0,0,0,0,0,0,0
"a ciegas",1,0,0,0,0,0,1,0,0,1,0
"a cuadros",1,0,0,0,0,0,0,0,0,0,0
"a distancia",1,0,0,0,0,0,0,0,0,1,0
"a granel",1,0,0,0,0,0,0,0,0,0,0
"a hurtadillas",1,0,0,0,0,0,0,1,0,0,0
"a la deriva",1,0,0,1,0,1,1,0,0,1,0
"a la fuerza",1,0,1,0,0,1,0,0,0,1,0
"a menudo",2,0,0,0,0,0,0,0,0,0,0
"a mi",1,0,0,0,0,0,0,0,0,0,0
"a mitad de camino",1,0,0,0,0,0,0,0,0,0,0
"a pelo",1,0,0,0,0,0,0,0,0,0,0
"a pesar de",1,0,0,0,0,0,0,0,0,0,0
"a proa",1,0,0,0,0,0,0,0,0,0,0
"a proposito",1,0,0,0,0,0,0,0,0,0,0
"a prueba de balas",1,0,0,0,0,0,0,0,0,0,1
"a prueba de la intemperie",1,0,0,0,0,0,0,0,0,0,1
"a reganadientes",2,0,0,0,0,0,0,0,0,1,0
"abaco",1,0,0,0,0,0,0,0,1,0,0
"abad",1,0,0,0,0,0,0,0,1,0,0
"abajo",1,0,0,0,0,0,1,0,0,1,0
"abandonado",5,0,1,0,1,1,1,0,0,1,0
"abandonar",4,0,0,0,0,1,1,1,0,1,0
"abandone",1,0,0,0,0,0,0,0,0,0,0
"abandono",1,0,1,0,0,1,1,1,0,1,0
"abarcar",1,0,0,0,0,0,0,0,0,0,0
"abarrotado",1,0,0,0,0,0,0,0,0,0,0
"abarrotar",1,0,0,0,0,0,0,0,0,0,0
"abastecedor",1,0,0,0,0,0,0,0,0,0,0
"abastecer",1,0,0,0,0,0,0,0,0,0,1
"abastecimiento",1,0,0,0,0,0,0,0,0,0,0
"abba",1,0,0,0,0,0,0,0,0,0,1
"abdomen",1,0,0,0,0,0,0,0,0,0,0
"abdominal",1,0,0,0,0,0,0,0,0,0,0
"abedul",1,0,1,0,1,1,0,0,0,1,0
"abeja",1,0,1,0,0,1,0,0,0,0,0
"aberracion",1,0,0,0,1,0,0,0,0,1,0
"aberrante",1,0,0,0,0,0,0,0,0,1,0
"abertura",3,0,0,0,0,0,0,0,0,0,0
"abeto",1,0,0,0,0,0,0,0,0,0,1
"abiertamente",1,0,0,0,0,0,0,0,0,0,0
"abierto",3,0,0,0,0,1,0,0,0,0,0
"abigarrado",2,0,0,0,0,0,0,0,0,0,0
"abismal",1,0,0,0,0,0,1,0,0,1,0
