"subtitle.id","subtitle","n.excl","n.interr","n.neg","n.afirm","joy","anger","anticipation","disgust","fear","sadness","surprise","trust","negative","positive","start","end","n.coincidencias"
1," Oigan… ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.877,22.257,0
2," Está lanzando casas. ",0,0,0,0,0,0,1,0,0,0,0,0,0,1,25.837,27.987,1
4," ¡Estará la casa de Eren! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,32.507,36.787,0
5," Sasha, dale un golpe a Connie. ",0,0,0,0,0,1,0,0,1,0,1,0,1,0,38.417,40.967,1
6," Parece que no sabe dónde estamos. ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0,42.947,45.357,1
8," Pretende convertir Shiganshina en un
mar de llamas usando esos escombros. ",0,0,0,0,0,0,0,0,0,0,0,1,1,2,46.467,51.567,3
9,"  Ese desgraciado…  ",0,0,0,0,0,1,0,1,0,1,0,0,1,0,52.967,54.327,1
10,"  esta vez incendió mi ciudad.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.127,59.127,0
11," ¡Armin, el fuego se acerca!
¡Danos órdenes! ",2,0,0,0,0,1.3225,0,1.21,1.21,0.81,0,0,1.21,0,60.877,64.207,2
12," ¡Date prisa! ",1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,64.207,65.307,1
13," Sé que mientras tiemblas
no puedes hacer nada. ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0,67.057,72.637,1
14," Jean, hazlo por mí. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.877,78.477,1
15," Yo no sé lo que deberíamos hacer. ",0,0,1,0,0,0,0.95,0,0,0,0,0,1.1,0,80.307,83.977,1
16," Antes fallé al prever
lo que haría Bertholdt. ",0,0,0,0,0,0,1,0,0,0,1,1,0,1,84.477,88.167,1
17," Jean, tú estás más capacitado. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.667,90.987,0
18," ¡Vamos hacia el río! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,95.307,97.367,0
19," ¡Súbanse a Eren! ¡Reserven el gas! ",2,0,0,0,0.1,0.14,0.08,0.06,0.06,0.08,0.2,0.06,0.14,0.08,98.107,101.327,0
20," Eren, tendremos que distraer
a Bertholdt en algún momento, ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,105.967,110.137,1
21," pero por ahora intenta que no te vea. ",0,0,1,0,0,0,1.9,0,0,0,0,0,1.1,0,110.137,112.637,2
22," Armin. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.567,114.727,0
23," Puedo ver la situación con claridad,
pero no urdir ningún plan que nos salve. ",0,0,1,0,0,0,2.85,0.95,0.95,0.95,0,0,2.2,0.95,116.437,121.747,4
24," Al final dependeremos de ti. ",0,0,0,0,0,0,1,0,0,0,0,1,0,0,122.307,124.727,1
25,"  Partido perfecto  ",0,0,0,0,1,0,1,0,0,0,0,1,0,1,219.997,224.997,1
26," Acabé con los de este lado. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.387,232.227,0
27," Los únicos inteligentes
son los que están aquí. ",0,0,0,0,0,0,0,0,0,0,1,1,0,2,232.227,235.797,2
28," Pero ¿cómo vamos a acabar
con el titán bestia? ",0,1,0,0,0,0.9,0,0,1,0,0,0,1,0,236.507,240.157,1
29," Está ahí quieto sin mover un músculo. ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,240.157,243.937,0
30," Sí. Parece que es un cobarde. ",0,0,0,0,0,0,0,1,1,1,0,0,1,0,244.247,246.937,1
31," No tiene pelotas, al fin y al cabo. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,247.527,250.147,1
32," Descansa. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.677,252.207,0
33," Acabaremos con los inteligentes. ",0,0,0,0,0,0,0,0,0,0,0,1,0,1,252.207,254.847,1
34," ¡Vamos! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,254.847,255.957,0
35," ¡Recibido! ",1,0,0,0,0.05,0.07,0.04,0.03,0.03,0.04,0.1,0.03,0.07,0.04,255.957,257.067,0
36,"  Rayos…  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.727,260.947,0
37,"  ¿Cómo estarán
después de la explosión de antes?  ",0,1,0,0,0.95,0.9,0,0,1,0.9,1.25,0,1,1,260.947,265.017,1
38,"  ¿Hange y los demás la evitaron?  ",0,1,0,0,0,0.9,0,0,1,0.9,0,0,1,0,265.527,267.577,1
