"n","start","end","subtitle"
1,20.877,22.257,"Oigan…"
2,25.837,27.987,"Está lanzando casas."
3,28.677,31.707,"Entre esas estará…"
4,32.507,36.787,"Estará la casa de Eren!"
5,38.417,40.967,"Sasha, dale un golpe a Connie."
6,42.947,45.357,"Parece que no sabe dónde estamos."
7,45.357,46.467,"Sí."
8,46.467,51.567,"Pretende convertir Shiganshina en un mar de llamas usando esos escombros."
9,52.967,54.327,"Ese desgraciado…"
10,55.127,59.127,"esta vez incendió mi ciudad."
11,60.877,64.207,"Armin, el fuego se acerca! Danos órdenes!"
12,64.207,65.307,"Date prisa!"
13,67.057,72.637,"Sé que mientras tiemblas no puedes hacer nada."
14,75.877,78.477,"Jean, hazlo por mí."
15,80.307,83.977,"Yo no sé lo que deberíamos hacer."
16,84.477,88.167,"Antes fallé al prever lo que haría Bertholdt."
17,88.667,90.987,"Jean, tú estás más capacitado."
18,95.307,97.367,"Vamos hacia el río!"
19,98.107,101.327,"Súbanse a Eren! Reserven el gas!"
20,105.967,110.137,"Eren, tendremos que distraer a Bertholdt en algún momento,"
21,110.137,112.637,"pero por ahora intenta que no te vea."
22,113.567,114.727,"Armin."
23,116.437,121.747,"Puedo ver la situación con claridad, pero no urdir ningún plan que nos salve."
24,122.307,124.727,"Al final dependeremos de ti."
25,219.997,224.997,"Partido perfecto"
26,230.387,232.227,"Acabé con los de este lado."
27,232.227,235.797,"Los únicos inteligentes son los que están aquí."
28,236.507,240.157,"Pero cómo vamos a acabar con el titán bestia?"
29,240.157,243.937,"Está ahí quieto sin mover un músculo."
30,244.247,246.937,"Sí. Parece que es un cobarde."
31,247.527,250.147,"No tiene pelotas, al fin y al cabo."
32,250.677,252.207,"Descansa."
33,252.207,254.847,"Acabaremos con los inteligentes."
34,254.847,255.957,"Vamos!"
35,255.957,257.067,"Recibido!"
36,259.727,260.947,"Rayos…"
37,260.947,265.017,"Cómo estarán después de la explosión de antes?"
38,265.527,267.577,"Hange y los demás la evitaron?"
39,268.167,270.237,"Debería ir con ellos en cuanto…"
40,301.147,304.147,"La lancé demasiado alta."
41,305.037,307.667,"Déjala ahí."
42,311.677,314.417,"La primera bola es de práctica."
43,315.587,319.057,"Aspiro a un partido perfecto."
44,320.427,323.967,"Atacan desde el frente! Escóndanse a la sombra de algo!"
45,324.727,325.807,"Qué pasa?"
46,325.807,329.037,"Maldición. Chicos!"
47,356.367,358.777,"Eso es un bombardeo?"
48,358.777,360.757,"Tienen cañones?"
49,360.757,362.847,"Pues tienen más de cien."
50,362.847,365.467,"Cálmense o alterarán a los caballos!"
51,365.717,367.667,"Están tirando piedras!"
52,367.667,368.847,"Capitán Levi!"
53,369.217,371.767,"Lleven a los caballos hasta la muralla!"
54,372.727,373.897,"Recibido!"
55,375.507,378.197,"Rápido! Aprovechen las coberturas!"
56,384.167,386.527,"Levántate! Es que quieres morir?"
57,388.277,389.257,"Comandante!"
58,390.457,391.497,"Situación?"
59,391.967,393.317,"La peor posible."
60,393.317,396.607,"Esas piedras hicieron pedazos las casas delanteras."
61,397.027,400.717,"Si continúa lanzando, dejará esta zona desierta."
62,400.717,403.007,"Nos dejará sin escondites."
63,403.547,406.467,"No podemos huir al otro lado de la muralla?"
64,406.467,407.347,"No."
65,407.687,411.117,"El titán colosal se acerca hacia aquí"
66,411.117,413.707,"mientras lo prende todo en llamas."
67,414.897,419.857,"Y aunque crucemos la muralla, los caballos no pueden seguirnos."
68,420.437,423.867,"Aunque aguantemos ahora, no venceremos."
69,424.277,427.367,"Dónde está Hange? Eren está a salvo?"
70,428.367,429.757,"No lo sé."
71,429.757,432.987,"Pero muchos sufrieron la explosión de antes."
72,433.617,435.877,"Sufrimos innumerables bajas."
73,436.967,442.417,"El titán bestia controló a los pequeños para reunirnos en un lugar."
74,442.987,449.057,"Los escuadrones de Dirk, Marlene y Klaus se enfrentaban a los titanes menores"
75,449.457,451.817,"y fallecieron en el primer lanzamiento."
76,452.837,459.357,"En otras palabras, en la parte interior de la muralla quedamos los reclutas,"
77,459.767,463.707,"el capitán Levi y yo."
78,468.857,470.867,"Es el fin!"
79,470.867,474.167,"Erwin, tienes algún plan?"
80,477.927,479.247,"Grita, Eren!"
81,479.247,481.917,"Que no se acerque más a la muralla!"
82,490.817,491.807,"Nos vio!"
83,496.077,498.637,"Nos ignora?"
84,499.077,501.687,"Qué hacemos, Jean? A este paso…"
85,502.077,503.467,"Lo sé."
86,503.467,506.447,"Eren, ve a detener sus piernas!"
87,509.767,512.617,"Cómo vamos a derrotarlo?"
88,513.037,515.957,"El vapor inutiliza el equipo de maniobras."
89,516.507,517.747,"Verdad?"
90,518.767,520.457,"Ya lo sé."
91,521.057,524.157,"Pero tenemos que probar lo que podamos."
92,524.157,526.517,"Revelaremos su punto débil!"
93,526.517,529.427,"Yo me encargo. Ustedes distráiganlo."
94,529.877,531.737,"Connie, las lanzas relámpago."
95,531.737,533.427,"Sí!"
96,533.837,536.877,"Armin, tú obsérvalo desde la distancia."
97,537.417,539.157,"Deja de llorar."
98,539.157,541.897,"Confía en que encontrarás alguna pista."
99,544.947,546.737,"Ahora! Dispérsense!"
100,549.527,551.977,"No me mires con tanto desprecio."
101,551.977,557.027,"Tu único poder es ser enorme!"
102,573.817,575.227,"Lo está empujando!"
103,575.227,577.977,"Vamos, Eren! Túmbalo!"
104,578.557,580.937,"Tiene que haber alguna forma."
105,584.787,585.707,"Eh?"
106,596.237,597.677,"Eren!"
107,601.747,604.917,"Ese es Eren?"
108,605.457,609.967,"Lo envió volando hasta lo alto de la muralla?"
109,613.527,614.957,"Eren no se mueve."
110,614.957,618.597,"No está muerto. Céntrate en el monstruo que tienes delante."
111,619.237,621.937,"Nos acercamos demasiado."
112,621.937,624.857,"Eso es lo que pasa si no tenemos un plan."
113,625.707,629.777,"Si no pensamos en algo que nos dé la ventaja,"
114,630.187,635.827,"se acabaron la operación, nuestras vidas y el futuro de la humanidad."
115,636.637,641.247,"Pero no vamos a dejar que nos mates a todos sin más."
116,641.617,643.537,"Ataquemos!"
117,647.677,649.807,"Aún no conoce las lanzas!"
118,649.807,652.487,"Connie, Sasha y yo lo distraeremos."
119,652.487,654.607,"Mikasa disparará mientras tanto!"
120,654.607,655.467,"Recibido!"
121,657.057,660.157,"Te voy a arrancar los ojos, idiota!"
122,660.157,662.017,"Tonto!"
123,662.017,664.187,"Bicho raro!"
124,665.477,667.777,"Es una provocación muy simple."
125,668.127,670.737,"Pero si las lanzas relámpago le dan…"
126,691.547,692.857,"Chicos!"
